person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
27,70000,MORTGAGE,11.0,PERSONAL,C,3000,,0.04,Y,8,0
32,62000,RENT,5.0,MEDICAL,C,15000,12.99,0.24,Y,6,0
25,57000,RENT,3.0,MEDICAL,A,6850,,0.12,N,4,0
33,34000,RENT,4.0,MEDICAL,D,10000,15.33,0.29,Y,8,1
35,62000,MORTGAGE,15.0,DEBTCONSOLIDATION,D,10000,15.33,0.16,N,10,1
23,37344,MORTGAGE,0.0,EDUCATION,C,3200,12.68,0.09,Y,2,0
28,110000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,6000,10.65,0.05,N,8,0
22,13200,RENT,0.0,HOMEIMPROVEMENT,B,2500,9.91,0.19,N,3,1
41,65000,RENT,3.0,EDUCATION,C,10000,,0.15,N,15,0
27,38000,MORTGAGE,0.0,MEDICAL,C,14000,14.26,0.37,Y,9,1
24,170000,MORTGAGE,8.0,EDUCATION,B,5000,11.71,0.03,N,3,0
25,35004,RENT,3.0,PERSONAL,A,5000,8.94,0.14,N,2,0
28,69000,RENT,1.0,VENTURE,D,12000,14.46,0.17,N,9,1
26,90000,MORTGAGE,0.0,EDUCATION,B,6000,9.91,0.07,N,3,0
22,50000,MORTGAGE,0.0,EDUCATION,A,12800,5.79,0.26,N,3,0
28,95000,MORTGAGE,12.0,EDUCATION,B,35000,9.63,0.37,N,5,0
33,125000,OWN,17.0,PERSONAL,A,3000,7.75,0.02,N,8,0
23,50000,OWN,3.0,PERSONAL,B,1500,11.49,0.03,N,2,0
28,78200,MORTGAGE,12.0,MEDICAL,D,20000,,0.22,Y,5,1
36,36000,RENT,3.0,EDUCATION,B,2500,9.76,0.07,N,15,0
27,60000,RENT,11.0,VENTURE,B,25000,,0.42,N,8,1
28,73200,RENT,2.0,VENTURE,A,12000,8.9,0.16,N,5,0
27,89000,OWN,10.0,VENTURE,A,3000,6.76,0.03,N,6,0
21,37200,OWN,5.0,VENTURE,A,7000,8.49,0.19,N,4,0
26,62000,MORTGAGE,2.0,PERSONAL,B,12000,,0.19,N,4,0
26,52000,MORTGAGE,6.0,PERSONAL,B,3300,10.99,0.06,N,2,0
22,24996,RENT,6.0,DEBTCONSOLIDATION,B,7000,11.86,0.28,N,2,0
22,60000,RENT,0.0,MEDICAL,A,5500,7.88,0.09,N,2,0
32,31000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,13000,,0.42,N,8,1
25,79000,MORTGAGE,9.0,MEDICAL,A,10000,5.79,0.13,N,3,0
23,35000,MORTGAGE,4.0,VENTURE,A,3825,7.49,0.11,N,4,0
22,70000,RENT,4.0,VENTURE,A,7550,7.51,0.11,N,2,0
23,36000,RENT,1.0,EDUCATION,A,7000,7.9,0.19,N,4,0
30,135000,RENT,4.0,VENTURE,D,25000,15.21,0.19,N,9,0
28,82500,MORTGAGE,12.0,MEDICAL,A,11000,7.49,0.13,N,9,0
37,6000,OWN,3.0,VENTURE,A,1300,6.03,0.22,N,11,1
37,14000,RENT,0.0,DEBTCONSOLIDATION,B,2400,,0.17,N,11,1
26,60000,RENT,9.0,DEBTCONSOLIDATION,C,7000,13.49,0.12,N,2,0
26,172500,RENT,3.0,HOMEIMPROVEMENT,B,20000,11.83,0.12,N,2,0
27,113800,MORTGAGE,3.0,MEDICAL,A,7500,8.63,0.07,N,10,0
37,52000,RENT,0.0,VENTURE,C,14000,13.16,0.27,Y,15,0
25,54000,MORTGAGE,9.0,PERSONAL,C,16000,,0.3,N,4,0
26,60000,MORTGAGE,2.0,MEDICAL,C,18000,13.49,0.3,N,4,0
23,60000,RENT,7.0,EDUCATION,D,4000,15.33,0.07,Y,2,0
23,35000,RENT,5.0,MEDICAL,C,5400,12.84,0.15,N,4,0
34,46000,RENT,1.0,MEDICAL,A,7000,8.9,0.15,N,8,0
22,36000,RENT,3.0,EDUCATION,A,4000,5.42,0.11,N,2,0
22,85000,RENT,5.0,EDUCATION,B,3000,10.99,0.04,N,2,0
22,18000,RENT,1.0,MEDICAL,B,1800,12.18,0.1,N,3,1
29,100000,RENT,0.0,EDUCATION,C,5000,12.23,0.05,N,8,0
27,31000,RENT,4.0,DEBTCONSOLIDATION,A,8000,7.66,0.26,N,8,1
43,138000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,9900,6.99,0.07,N,14,0
24,37680,RENT,8.0,EDUCATION,G,15000,19.82,0.4,N,2,1
23,60000,MORTGAGE,7.0,MEDICAL,A,3000,8.9,0.05,N,4,0
24,25200,OWN,1.0,MEDICAL,C,3200,15.23,0.13,Y,2,0
22,30000,RENT,3.0,EDUCATION,D,6200,,0.21,Y,3,0
25,73000,RENT,2.0,VENTURE,E,12000,,0.16,N,2,1
43,61000,MORTGAGE,3.0,DEBTCONSOLIDATION,E,16000,,0.26,Y,17,1
24,49000,MORTGAGE,0.0,MEDICAL,B,5000,12.18,0.1,N,3,1
21,49000,RENT,2.0,PERSONAL,D,16950,18.25,0.35,Y,4,1
39,60197,RENT,6.0,PERSONAL,A,5200,,0.09,N,11,0
23,80000,MORTGAGE,7.0,PERSONAL,A,4000,7.51,0.05,N,3,0
33,44000,MORTGAGE,2.0,EDUCATION,C,7000,12.99,0.16,Y,8,1
26,74000,MORTGAGE,10.0,VENTURE,B,4475,9.99,0.06,N,4,0
33,54400,MORTGAGE,2.0,MEDICAL,B,5000,11.86,0.08,N,9,1
23,60000,RENT,2.0,VENTURE,A,9000,6.17,0.15,N,2,0
25,42000,RENT,0.0,VENTURE,A,3500,5.42,0.08,N,4,0
32,30000,RENT,1.0,MEDICAL,B,11450,9.99,0.38,N,6,1
31,80000,RENT,1.0,MEDICAL,B,9600,9.91,0.12,N,7,0
39,18996,RENT,5.0,EDUCATION,A,2000,7.88,0.11,N,12,0
24,65000,RENT,4.0,MEDICAL,B,10000,10.25,0.15,N,3,0
31,26400,RENT,2.0,VENTURE,C,3250,13.48,0.12,N,8,0
24,85000,RENT,1.0,VENTURE,A,10500,6.92,0.12,N,3,0
22,62322,RENT,7.0,EDUCATION,B,10000,,0.16,N,2,0
33,84000,MORTGAGE,9.0,EDUCATION,D,20000,14.61,0.24,Y,5,0
25,80000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,10250,5.42,0.13,N,4,0
24,40800,RENT,5.0,MEDICAL,C,4800,13.85,0.12,Y,3,0
22,42000,MORTGAGE,6.0,EDUCATION,C,6000,12.99,0.14,Y,2,0
27,50000,MORTGAGE,1.0,PERSONAL,A,3000,7.68,0.06,N,5,0
22,31500,MORTGAGE,2.0,VENTURE,A,14000,8.9,0.44,N,3,0
23,109200,MORTGAGE,4.0,VENTURE,A,10000,8.63,0.09,N,2,0
27,31200,RENT,3.0,EDUCATION,C,10000,13.99,0.32,N,10,1
26,95000,MORTGAGE,10.0,VENTURE,B,5000,9.88,0.05,N,2,0
25,51000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,7000,7.88,0.14,N,4,0
22,65000,MORTGAGE,6.0,MEDICAL,B,3800,11.12,0.06,N,4,0
25,65000,RENT,9.0,EDUCATION,E,15000,16.32,0.23,N,2,0
31,96000,MORTGAGE,4.0,VENTURE,C,12000,12.73,0.13,Y,5,0
26,52800,RENT,2.0,VENTURE,D,10000,12.8,0.19,Y,3,1
27,75000,RENT,7.0,VENTURE,B,15000,11.14,0.2,N,6,0
24,133300,RENT,6.0,DEBTCONSOLIDATION,B,25000,10.37,0.19,N,2,0
25,67000,MORTGAGE,9.0,PERSONAL,C,25000,10.91,0.37,N,3,1
24,35000,MORTGAGE,7.0,EDUCATION,A,15000,7.49,0.43,N,4,0
23,45000,RENT,7.0,EDUCATION,D,4000,14.96,0.09,N,4,0
35,31000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,5000,14.46,0.16,Y,5,1
29,28000,RENT,9.0,MEDICAL,A,13200,6.17,0.47,N,10,1
22,48000,RENT,0.0,EDUCATION,A,1000,7.29,0.02,N,4,0
23,48000,RENT,7.0,MEDICAL,D,20000,15.65,0.42,N,4,1
26,67000,MORTGAGE,4.0,MEDICAL,A,10400,8.9,0.16,N,4,0
22,39000,RENT,0.0,HOMEIMPROVEMENT,B,7200,9.45,0.18,N,3,1
26,29000,RENT,1.0,EDUCATION,C,1000,11.28,0.03,N,3,1
25,50000,OWN,9.0,EDUCATION,E,9175,19.42,0.18,N,4,0
24,39996,RENT,1.0,MEDICAL,B,16000,10.71,0.4,N,2,1
31,170000,MORTGAGE,15.0,PERSONAL,C,10000,13.49,0.06,Y,8,0
37,73000,RENT,4.0,HOMEIMPROVEMENT,B,11500,12.21,0.16,N,13,0
36,50000,RENT,6.0,VENTURE,C,7200,13.98,0.14,N,15,0
24,34000,RENT,0.0,EDUCATION,E,7000,17.04,0.21,N,2,1
24,100000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,6000,,0.06,N,3,0
33,200000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,25000,9.76,0.13,N,9,0
39,24000,RENT,1.0,MEDICAL,A,8500,7.49,0.35,N,12,1
27,26000,RENT,6.0,MEDICAL,B,4000,10.25,0.15,N,10,0
27,40000,RENT,1.0,VENTURE,C,13000,13.48,0.33,N,7,1
23,72000,MORTGAGE,7.0,MEDICAL,B,5975,,0.08,N,3,0
23,55000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7500,7.51,0.14,N,4,0
26,33280,RENT,11.0,DEBTCONSOLIDATION,D,5000,14.11,0.15,N,4,1
36,32400,MORTGAGE,20.0,PERSONAL,D,6600,13.24,0.2,Y,11,0
23,60000,RENT,1.0,PERSONAL,A,5600,7.29,0.09,N,2,0
22,28800,RENT,5.0,MEDICAL,B,9000,10.99,0.31,N,2,1
30,72000,MORTGAGE,3.0,MEDICAL,C,9000,14.22,0.13,Y,6,0
23,43000,MORTGAGE,3.0,VENTURE,D,3600,15.62,0.08,N,3,0
25,52000,RENT,1.0,HOMEIMPROVEMENT,A,10000,6.91,0.19,N,2,0
38,40000,MORTGAGE,4.0,PERSONAL,B,4000,12.21,0.1,N,13,0
23,40000,RENT,7.0,VENTURE,B,7500,12.69,0.19,N,2,0
30,98000,MORTGAGE,14.0,EDUCATION,B,9000,11.49,0.09,N,5,1
34,80000,MORTGAGE,7.0,EDUCATION,B,19000,10.62,0.24,N,10,0
23,80000,RENT,1.0,MEDICAL,A,12000,6.62,0.15,N,4,0
25,130000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,25000,11.36,0.19,N,3,0
25,110000,MORTGAGE,7.0,EDUCATION,A,8000,7.14,0.07,N,4,0
23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0.12,Y,3,0
32,106000,MORTGAGE,3.0,MEDICAL,A,10000,,0.09,N,7,0
25,85000,MORTGAGE,7.0,PERSONAL,C,5500,13.49,0.06,N,3,0
27,89000,MORTGAGE,11.0,EDUCATION,D,2800,14.96,0.03,Y,10,0
23,108000,OWN,2.0,VENTURE,A,35000,8.49,0.32,N,4,0
32,50004,MORTGAGE,2.0,EDUCATION,C,6250,12.87,0.12,Y,6,0
28,70000,MORTGAGE,7.0,MEDICAL,A,4000,6.39,0.06,N,8,0
23,56000,RENT,3.0,DEBTCONSOLIDATION,A,11000,7.49,0.2,N,4,0
22,32000,RENT,3.0,DEBTCONSOLIDATION,D,4800,16.49,0.15,Y,2,1
45,49000,OWN,5.0,MEDICAL,E,24250,19.03,0.49,Y,11,1
26,52000,MORTGAGE,3.0,HOMEIMPROVEMENT,D,2500,14.59,0.05,N,4,0
27,86000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,4500,10.37,0.05,N,6,0
22,34000,RENT,2.0,DEBTCONSOLIDATION,B,8000,9.91,0.24,N,4,0
25,45000,RENT,0.0,EDUCATION,B,5000,10.74,0.11,N,4,0
24,75000,RENT,8.0,PERSONAL,D,12000,,0.16,N,4,0
22,64000,MORTGAGE,5.0,MEDICAL,A,2000,9.32,0.03,N,4,0
27,128000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,18000,11.83,0.14,N,6,0
36,30996,RENT,2.0,PERSONAL,C,5500,12.53,0.18,Y,15,0
34,30000,RENT,4.0,VENTURE,B,3350,10.99,0.11,N,10,0
23,60000,RENT,0.0,VENTURE,B,8000,11.14,0.13,N,3,0
23,72000,MORTGAGE,5.0,EDUCATION,F,19000,,0.26,Y,2,1
23,42000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,11000,7.88,0.26,N,2,0
25,81600,MORTGAGE,9.0,EDUCATION,C,13000,13.23,0.16,Y,4,0
24,52000,RENT,4.0,DEBTCONSOLIDATION,A,3500,7.68,0.07,N,2,0
32,130000,MORTGAGE,0.0,EDUCATION,A,12000,8.59,0.09,N,5,0
31,55680,MORTGAGE,7.0,VENTURE,C,4000,12.73,0.07,N,7,0
25,25000,OWN,3.0,EDUCATION,A,3000,6.76,0.12,N,2,0
21,25200,RENT,3.0,MEDICAL,C,8500,13.61,0.34,Y,2,1
24,45000,MORTGAGE,0.0,VENTURE,C,10625,14.27,0.24,Y,2,1
32,51400,RENT,1.0,HOMEIMPROVEMENT,A,8000,7.51,0.16,N,10,0
37,32000,OWN,8.0,HOMEIMPROVEMENT,A,12150,6.62,0.38,N,13,0
24,69996,OWN,4.0,MEDICAL,A,10000,,0.14,N,2,0
28,186480,MORTGAGE,12.0,MEDICAL,C,10000,14.22,0.05,Y,9,0
21,30000,RENT,1.0,HOMEIMPROVEMENT,D,2400,17.19,0.08,Y,2,1
25,49700,RENT,2.0,PERSONAL,B,7200,10.38,0.14,N,2,1
23,32400,RENT,6.0,VENTURE,B,3000,10.0,0.09,N,2,0
32,86400,MORTGAGE,16.0,MEDICAL,A,8000,6.03,0.09,N,10,0
29,51000,RENT,1.0,DEBTCONSOLIDATION,A,5000,8.0,0.1,N,6,0
23,71000,RENT,7.0,PERSONAL,A,11300,7.49,0.16,N,3,0
23,113000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12000,7.66,0.11,N,4,0
24,60000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,21000,,0.35,Y,3,0
23,30000,RENT,1.0,MEDICAL,A,8400,,0.28,N,2,1
24,51000,RENT,7.0,PERSONAL,D,9600,15.31,0.19,Y,4,0
32,70000,RENT,2.0,DEBTCONSOLIDATION,B,3000,11.11,0.04,N,6,1
23,49000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,5000,15.21,0.1,Y,3,1
29,142000,OWN,14.0,PERSONAL,B,24250,11.48,0.17,N,8,0
26,32352,RENT,0.0,VENTURE,D,5000,14.84,0.15,N,4,1
22,28800,MORTGAGE,2.0,MEDICAL,A,10000,7.49,0.35,N,2,0
27,24000,RENT,4.0,DEBTCONSOLIDATION,B,7000,10.75,0.29,N,10,0
22,46500,RENT,4.0,VENTURE,B,5000,10.37,0.11,N,4,0
21,87500,MORTGAGE,5.0,EDUCATION,C,25000,13.98,0.29,Y,3,0
23,38000,RENT,0.0,DEBTCONSOLIDATION,A,1075,,0.03,N,3,0
30,23000,RENT,1.0,MEDICAL,B,950,,0.04,N,6,0
23,120000,MORTGAGE,7.0,VENTURE,B,4400,11.71,0.04,N,3,0
31,46000,RENT,6.0,MEDICAL,D,9600,14.46,0.21,Y,5,1
24,26000,RENT,5.0,MEDICAL,A,12000,7.9,0.46,N,2,1
34,48000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,9000,7.14,0.19,N,6,0
30,83000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,20000,11.11,0.24,N,9,0
28,37090,RENT,2.0,DEBTCONSOLIDATION,B,3000,11.12,0.08,N,5,0
22,110000,MORTGAGE,2.0,VENTURE,B,9000,11.11,0.08,N,4,0
23,34255,RENT,7.0,VENTURE,G,6000,22.11,0.18,Y,3,1
24,38400,RENT,6.0,DEBTCONSOLIDATION,A,9000,7.9,0.23,N,2,0
